Date,Price,Open,High,Low,Vol.,Change %
12/11/2023,6228.29,6203.39,6228.29,6167.21,107.10K,-0.10%
12/07/2023,6234.77,6304.71,6306.42,6227.72,72.60K,-1.13%
12/06/2023,6305.85,6306.39,6306.39,6273.97,81.93K,-0.05%
12/05/2023,6308.95,6287.39,6308.95,6235.58,70.08K,0.39%
12/04/2023,6284.37,6237.87,6284.37,6234.32,52.63K,0.63%
12/01/2023,6245.18,6230.87,6254.03,6221.52,57.77K,0.34%
11/30/2023,6223.73,6258.87,6259.28,6207.07,142.84K,-0.66%
11/29/2023,6265.14,6306.96,6329.42,6265.14,91.17K,-0.70%
11/28/2023,6309.57,6274.16,6310.97,6274.16,108.24K,0.64%
11/24/2023,6269.50,6249.79,6271.63,6237.66,57.08K,0.37%
11/23/2023,6246.20,6249.46,6259.66,6230.26,51.28K,-0.11%
11/22/2023,6253.18,6201.85,6253.18,6201.85,59.57K,0.71%
11/21/2023,6208.83,6196.99,6219.06,6183.05,91.84K,0.41%
11/20/2023,6183.63,6206.31,6211.97,6174.52,70.90K,-0.45%
11/17/2023,6211.89,6172.39,6232.12,6171.17,84.99K,0.33%
11/16/2023,6191.48,6177.63,6191.48,6164.20,78.09K,0.33%
11/15/2023,6171.13,6114.58,6173.26,6106.59,75.52K,0.99%
11/14/2023,6110.88,6122.39,6128.07,6079.15,62.57K,-0.09%
11/13/2023,6116.14,6158.22,6158.76,6114.34,37.99K,-0.74%
11/10/2023,6161.89,6189.00,6189.00,6127.96,61.69K,-0.43%
11/09/2023,6188.22,6155.65,6203.72,6155.65,85.78K,0.54%
11/08/2023,6155.03,6133.19,6155.03,6103.64,64.98K,0.39%
11/07/2023,6131.32,6081.44,6131.32,6055.68,54.65K,0.88%
11/06/2023,6078.03,6006.59,6078.03,6006.59,56.56K,1.48%
11/03/2023,5989.27,6039.38,6083.69,5989.27,81.72K,0.26%
10/31/2023,5973.78,5971.74,5980.82,5920.47,86.56K,0.20%
10/27/2023,5961.99,5996.20,5999.55,5956.86,82.44K,-0.94%
10/26/2023,6018.49,6051.26,6051.26,5974.17,85.86K,-0.59%
10/25/2023,6054.50,6050.10,6080.49,6026.43,71.29K,0.24%
10/24/2023,6039.72,6086.44,6103.62,6039.72,49.96K,-0.80%
10/23/2023,6088.44,6135.70,6139.05,6065.37,58.04K,-0.89%
10/20/2023,6142.90,6208.50,6208.50,6142.90,77.02K,-1.23%
10/19/2023,6219.16,6263.22,6263.22,6216.10,87.21K,-0.78%
10/18/2023,6268.27,6278.50,6290.05,6255.03,148.61K,-0.20%
10/17/2023,6280.90,6215.13,6286.21,6215.13,97.77K,1.32%
10/16/2023,6198.83,6261.72,6265.85,6198.83,71.91K,-1.08%
10/13/2023,6266.34,6264.66,6283.50,6260.50,55.47K,0.05%
10/12/2023,6263.06,6266.04,6283.72,6234.60,71.10K,0.15%
10/11/2023,6253.96,6280.85,6308.05,6253.96,121.68K,-0.16%
10/10/2023,6264.07,6265.86,6303.44,6263.74,141.42K,0.19%
10/09/2023,6252.16,6238.17,6271.72,6227.25,79.14K,-0.12%
10/06/2023,6259.95,6196.05,6270.89,6166.69,85.45K,1.32%
10/05/2023,6178.60,6266.00,6289.67,6178.60,108.62K,-1.90%
10/04/2023,6298.20,6289.30,6298.20,6270.36,68.66K,-0.12%
10/03/2023,6305.99,6304.09,6307.94,6253.33,96.67K,0.02%
10/02/2023,6304.53,6334.00,6339.29,6304.53,68.78K,-0.26%
09/29/2023,6321.24,6383.41,6392.09,6321.24,154.27K,-1.01%
09/28/2023,6385.52,6365.65,6412.94,6335.47,72.95K,0.17%
09/27/2023,6374.68,6254.35,6374.68,6245.73,103.87K,1.77%
09/26/2023,6263.94,6183.54,6280.72,6171.78,108.39K,1.48%
09/25/2023,6172.84,6156.87,6191.46,6118.14,134.32K,0.49%
09/22/2023,6142.79,6096.88,6142.79,6086.78,76.80K,0.79%
09/21/2023,6094.71,6053.96,6094.71,6043.13,96.47K,0.89%
09/20/2023,6041.04,6049.02,6061.65,5998.31,86.91K,-0.11%
09/19/2023,6047.97,6121.07,6121.16,6034.36,66.30K,-1.25%
09/18/2023,6124.57,6157.22,6159.68,6085.17,66.70K,-0.03%
09/15/2023,6126.34,6202.89,6216.46,6126.34,167.19K,-1.32%
09/14/2023,6208.40,6156.65,6208.40,6149.29,66.61K,0.96%
09/13/2023,6149.18,6235.82,6239.40,6149.18,91.99K,-1.30%
09/12/2023,6230.20,6238.89,6260.87,6230.20,101.79K,-0.06%
09/11/2023,6233.74,6217.56,6233.74,6198.50,75.25K,0.17%
09/08/2023,6222.94,6193.40,6222.94,6173.10,48.73K,0.64%
09/07/2023,6183.07,6223.75,6223.75,6170.07,68.14K,-0.94%
09/06/2023,6241.69,6243.37,6245.74,6205.80,61.60K,0.27%
09/05/2023,6225.00,6211.75,6258.50,6193.91,63.90K,0.17%
09/04/2023,6214.68,6195.37,6217.74,6183.74,1.77M,0.54%
09/01/2023,6181.06,6215.55,6220.25,6179.88,616.72K,0.09%
08/31/2023,6175.25,6291.95,6291.95,6175.25,160.63K,-1.91%
08/30/2023,6295.29,6224.81,6300.44,6224.81,131.53K,1.13%
08/29/2023,6225.00,6161.03,6225.00,6142.15,126.44K,1.05%
08/25/2023,6160.61,6222.30,6222.30,6144.03,74.80K,-1.05%
08/24/2023,6225.78,6204.30,6278.18,6204.30,67.89K,0.75%
08/23/2023,6179.63,6225.30,6225.30,6179.63,86.04K,-0.53%
08/22/2023,6212.39,6286.92,6291.04,6212.39,107.89K,-1.24%
08/18/2023,6290.27,6352.08,6366.08,6290.27,120.28K,-1.17%
08/17/2023,6364.97,6393.53,6409.98,6353.74,95.53K,-0.70%
08/16/2023,6410.09,6333.20,6410.09,6322.10,98.49K,1.17%
